;Especie;Registros;GBIF;CBC;Reino;Filo;Clase;Orden;Familia;Género
1604;Cyrtochilum baldeviamae;8;https://www.gbif.org/species/2832675;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1605;Cyrtochilum betancurii;3;https://www.gbif.org/species/9374519;https://catalogo.biodiversidad.co/file/61e5b4c4182759fd3656a317/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1606;Cyrtochilum caquetanum;1;https://www.gbif.org/species/9356925;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1607;Cyrtochilum corniculatum;1;https://www.gbif.org/species/9366490;https://catalogo.biodiversidad.co/file/61e5b502182759fd3656a324/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1608;Cyrtochilum dipterum;20;https://www.gbif.org/species/2832803;https://catalogo.biodiversidad.co/file/56de29b983c45700544e3c06/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1609;Cyrtochilum englerianum;11;https://www.gbif.org/species/2833106;https://catalogo.biodiversidad.co/file/61e5b5a0182759fd3656a37e/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1610;Cyrtochilum exasperatum;1090;https://www.gbif.org/species/2833003;https://catalogo.biodiversidad.co/file/56de2ae083c45700544e3c07/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1611;Cyrtochilum ioplocon;12;https://www.gbif.org/species/2832712;https://catalogo.biodiversidad.co/file/61e5b644182759fd3656a3de/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1612;Cyrtochilum ixioides;38;https://www.gbif.org/species/2832664;https://catalogo.biodiversidad.co/file/56de5e6983c45700544e3c15/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1613;Cyrtochilum leucopterum;22;https://www.gbif.org/species/2832706;https://catalogo.biodiversidad.co/file/56de5f9b83c45700544e3c16/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1614;Cyrtochilum misasianum;4;https://www.gbif.org/species/2833116;https://catalogo.biodiversidad.co/file/61e5b79c182759fd3656a549/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1615;Cyrtochilum ramiro-medinae;1;https://www.gbif.org/species/9320474;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1616;Cyrtochilum rostratum;2;https://www.gbif.org/species/2832749;https://catalogo.biodiversidad.co/file/61e5b7f0182759fd3656a559/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1617;Cyrtochilum scabiosum;14;https://www.gbif.org/species/2833053;https://catalogo.biodiversidad.co/file/61e5b82f182759fd3656a572/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1618;Cyrtochilum tenense;8;https://www.gbif.org/species/2833129;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1619;Cyrtochilum undulatum;6;https://www.gbif.org/species/2833117;https://catalogo.biodiversidad.co/file/61e5b8b2182759fd3656a5c2/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1620;Cyrtochilum weirii;51;https://www.gbif.org/species/2832848;https://catalogo.biodiversidad.co/file/61e5b8e7182759fd3656a5d3/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Cyrtochilum
1621;Dacnis hartlaubi;3582;https://www.gbif.org/species/2488350;https://catalogo.biodiversidad.co/file/56e783ad83c45700544e408d/summary;Animalia;Chordata;Aves;Passeriformes;Thraupidae;Dacnis
1622;Dacryodes acutipyrena;9;https://www.gbif.org/species/3992606;NA;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Dacryodes
1623;Dacryodes colombiana;14;https://www.gbif.org/species/3992472;https://catalogo.biodiversidad.co/file/56cf93ec3c16479905cba7f0/summary;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Dacryodes
1624;Dacryodes epimedia;7;https://www.gbif.org/species/9097806;NA;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Dacryodes
1625;Dacryodes frangens;8;https://www.gbif.org/species/9296457;NA;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Dacryodes
1626;Dacryodes hydriflora;1;https://www.gbif.org/species/9038766;NA;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Dacryodes
1627;Dacryodes maguipensis;4;https://www.gbif.org/species/9194955;NA;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Dacryodes
1628;Daector gerringi;5;https://www.gbif.org/species/2350879;NA;Animalia;Chordata;NA;Batrachoidiformes;Batrachoididae;Daector
1629;Daector quadrizonatus;22;https://www.gbif.org/species/2350877;https://catalogo.biodiversidad.co/file/59e2a0035f36934344305025/summary;Animalia;Chordata;NA;Batrachoidiformes;Batrachoididae;Daector
1630;Daiotyla maculata;3;https://www.gbif.org/species/2794677;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Daiotyla
1631;Daphnopsis anomala;245;https://www.gbif.org/species/3568420;NA;Plantae;Tracheophyta;Magnoliopsida;Malvales;Thymelaeaceae;Daphnopsis
1632;Daphnopsis crispotomentosa;27;https://www.gbif.org/species/3568178;NA;Plantae;Tracheophyta;Magnoliopsida;Malvales;Thymelaeaceae;Daphnopsis
1633;Dasyloricaria paucisquama;17;https://www.gbif.org/species/9137933;https://catalogo.biodiversidad.co/file/59dcf87f5f36934344300263/summary;Animalia;Chordata;NA;Siluriformes;Loricariidae;Dasyloricaria
1634;Dendrobates truncatus;17277;https://www.gbif.org/species/5218029;https://catalogo.biodiversidad.co/file/56d4ab9a3c16479905cba8a0/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Dendrobates
1635;Dendrocryphaea latifolia;44;https://www.gbif.org/species/2678269;NA;Plantae;Bryophyta;Bryopsida;Hypnales;Cryphaeaceae;Dendrocryphaea
1636;Dendropanax amplifolius;18;https://www.gbif.org/species/3035173;NA;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Dendropanax
1637;Dendropanax glaberrimus;9;https://www.gbif.org/species/3034994;NA;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Dendropanax
1638;Dendropanax lehmannii;13;https://www.gbif.org/species/3035079;NA;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Dendropanax
1639;Dendropanax macrophyllus;113;https://www.gbif.org/species/3034984;https://catalogo.biodiversidad.co/file/56e77c7983c45700544e4043/summary;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Dendropanax
1640;Dendropanax pachypodus;6;https://www.gbif.org/species/3035194;NA;Plantae;Tracheophyta;Magnoliopsida;Apiales;Araliaceae;Dendropanax
1641;Dendrophorbium arboluco;13;https://www.gbif.org/species/3109939;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Dendrophorbium
