;Especie;Registros;GBIF;CBC;Reino;Filo;Clase;Orden;Familia;Género
1;Abramites eques;134;https://www.gbif.org/species/2355543;https://catalogo.biodiversidad.co/file/59d51ee05f369343442fb35d/summary;Animalia;Chordata;NA;Characiformes;Anostomidae;Abramites
2;Abuta racemosa;64;https://www.gbif.org/species/7349979;NA;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Menispermaceae;Abuta
3;Acalypha castroviejoi;18;https://www.gbif.org/species/3057255;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha
4;Acalypha chocoana;11;https://www.gbif.org/species/3056235;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha
5;Acalypha inaequilatera;7;https://www.gbif.org/species/3056555;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha
6;Acalypha mutisii;25;https://www.gbif.org/species/3056616;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha
7;Acalypha schultesii;3;https://www.gbif.org/species/3057068;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha
8;Acanthocladus colombianus;3;https://www.gbif.org/species/7434040;NA;Plantae;Tracheophyta;Magnoliopsida;Fabales;Polygalaceae;Acanthocladus
9;Acaulimalva purpurea;44;https://www.gbif.org/species/3934980;NA;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Acaulimalva
10;Acestrocephalus anomalus;45;https://www.gbif.org/species/2353364;https://catalogo.biodiversidad.co/file/5917874bf827bf0c0ced6257/summary;Animalia;Chordata;NA;Characiformes;Characidae;Acestrocephalus
11;Achyrocline hirta;1;https://www.gbif.org/species/3139560;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Achyrocline
12;Achyrocline virescens;2;https://www.gbif.org/species/3139566;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Achyrocline
13;Acianthera adeodata;3;https://www.gbif.org/species/7845749;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Acianthera
14;Acianthera chamelopoda;2;https://www.gbif.org/species/2839663;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Acianthera
15;Acianthera melanoglossa;1;https://www.gbif.org/species/2839644;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Acianthera
16;Acianthera pazii;3;https://www.gbif.org/species/5951587;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Acianthera
17;Acianthera rodrigoi;2;https://www.gbif.org/species/2839646;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Acianthera
18;Acidocroton gentryi;17;https://www.gbif.org/species/3055950;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acidocroton
19;Acineta antioquiae;3;https://www.gbif.org/species/5310316;https://catalogo.biodiversidad.co/file/61e5ad56182759fd36569c51/summary;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Acineta
20;Acrobotrys discolor;3;https://www.gbif.org/species/5337641;NA;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Acrobotrys
21;Acroriellus vittetae;2;https://www.gbif.org/species/8869401;NA;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Acroriellus
22;Acrorius sisyphus;2;https://www.gbif.org/species/9474095;NA;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Acrorius
23;Adelobotrys fuscescens;92;https://www.gbif.org/species/3860791;NA;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Melastomataceae;Adelobotrys
24;Adelonema kvistii;6;https://www.gbif.org/species/9561508;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Adelonema
25;Adelonema roezlii;3;https://www.gbif.org/species/9590180;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Adelonema
26;Adelonema speariae;16;https://www.gbif.org/species/9443671;NA;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;Adelonema
27;Adelopsis anceps;2;https://www.gbif.org/species/10567088;NA;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;Adelopsis
28;Adelopsis bifida;6;https://www.gbif.org/species/10267769;NA;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;Adelopsis
29;Adelopsis calarcensis;7;https://www.gbif.org/species/10490604;NA;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;Adelopsis
30;Adelopsis camella;7;https://www.gbif.org/species/9851405;NA;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;Adelopsis
31;Adelopsis capitanea;5;https://www.gbif.org/species/10094784;NA;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;Adelopsis
32;Adelopsis dumbo;2;https://www.gbif.org/species/10495524;NA;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;Adelopsis
33;Adelopsis longipalpus;2;https://www.gbif.org/species/10152370;NA;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;Adelopsis
34;Adelopsis palata;3;https://www.gbif.org/species/10606416;NA;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;Adelopsis
35;Adelopsis pichinde;2;https://www.gbif.org/species/10289760;NA;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;Adelopsis
36;Adelopsis procera;2;https://www.gbif.org/species/10242238;NA;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;Adelopsis
37;Adelopsis sanlorenzo;2;https://www.gbif.org/species/10393439;NA;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;Adelopsis
38;Adelopsis santamarta;2;https://www.gbif.org/species/10138808;NA;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;Adelopsis
39;Adelopsis soacha;2;https://www.gbif.org/species/10232056;NA;Animalia;Arthropoda;Insecta;Coleoptera;Leiodidae;Adelopsis
40;Adelphia platyrachis;12;https://www.gbif.org/species/5635035;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Malpighiaceae;Adelphia
41;Adenocalymma dugandii;25;https://www.gbif.org/species/4091629;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Bignoniaceae;Adenocalymma
42;Adenocalymma magdalenense;71;https://www.gbif.org/species/4091833;https://catalogo.biodiversidad.co/file/566edb26f289f5a40c0cd265/summary;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Bignoniaceae;Adenocalymma
43;Adenocalymma sastrei;15;https://www.gbif.org/species/7788040;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Bignoniaceae;Adenocalymma
44;Adiantopsis lindigii;31;https://www.gbif.org/species/3750136;NA;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Pteridaceae;Adiantopsis
45;Adiantum grossum;44;https://www.gbif.org/species/3749653;NA;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Pteridaceae;Adiantum
46;Aechmea anomala;5;https://www.gbif.org/species/2698619;https://catalogo.biodiversidad.co/file/56ce6ce23c16479905cba7a1/summary;Plantae;Tracheophyta;Liliopsida;Poales;Bromeliaceae;Aechmea
47;Aechmea confertiflora;4;https://www.gbif.org/species/8364774;NA;Plantae;Tracheophyta;Liliopsida;Poales;Bromeliaceae;Aechmea
48;Aechmea longipedunculata;3;https://www.gbif.org/species/8146934;NA;Plantae;Tracheophyta;Liliopsida;Poales;Bromeliaceae;Aechmea
49;Aechmea longiramosa;3;https://www.gbif.org/species/7655103;https://catalogo.biodiversidad.co/file/61c48b58337ff1ce256fa696/summary;Plantae;Tracheophyta;Liliopsida;Poales;Bromeliaceae;Aechmea
50;Aechmea nivea;144;https://www.gbif.org/species/2698689;https://catalogo.biodiversidad.co/file/61c490134b75d0462685a83c/summary;Plantae;Tracheophyta;Liliopsida;Poales;Bromeliaceae;Aechmea
51;Aechmea stenosepala;118;https://www.gbif.org/species/2698173;https://catalogo.biodiversidad.co/file/56ce926a3c16479905cba7af/summary;Plantae;Tracheophyta;Liliopsida;Poales;Bromeliaceae;Aechmea
52;Aegidinus candezei;20;https://www.gbif.org/species/1072736;NA;Animalia;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Aegidinus
53;Aegidinus steinheili;9;https://www.gbif.org/species/10730910;NA;Animalia;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Aegidinus
54;Aegiphila aculeifera;14;https://www.gbif.org/species/3893644;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Aegiphila
55;Aegiphila farinosa;13;https://www.gbif.org/species/3892829;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Aegiphila
56;Aegiphila killipii;4;https://www.gbif.org/species/3892105;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Aegiphila
57;Aegiphila montana;2;https://www.gbif.org/species/3891542;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Aegiphila
58;Aegiphila pennellii;23;https://www.gbif.org/species/3891078;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Aegiphila
59;Aegiphila sylvatica;4;https://www.gbif.org/species/3890381;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Aegiphila
60;Aegiphila truncata;307;https://www.gbif.org/species/3890264;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Aegiphila
61;Aequatorium albiflorum;8;https://www.gbif.org/species/3092075;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Aequatorium
62;Aequatorium caucanum;8;https://www.gbif.org/species/3092070;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Aequatorium
63;Aequatorium latibracteolatum;5;https://www.gbif.org/species/3092055;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Aequatorium
64;Aequatorium palealbum;2;https://www.gbif.org/species/3092068;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Aequatorium
65;Aequatorium polygonoides;38;https://www.gbif.org/species/3092048;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Aequatorium
66;Aequatorium sinuatifolium;27;https://www.gbif.org/species/3092062;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Aequatorium
67;Aequatorium tatamanum;116;https://www.gbif.org/species/3092046;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Aequatorium
68;Aequatorium verrucosum;125;https://www.gbif.org/species/3092069;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Aequatorium
69;Aetanthus mutisii;113;https://www.gbif.org/species/4003577;https://catalogo.biodiversidad.co/file/56c40af2f0106c67230e7376/summary;Plantae;Tracheophyta;Magnoliopsida;Santalales;Loranthaceae;Aetanthus
70;Aetanthus ovalis;28;https://www.gbif.org/species/4003476;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Loranthaceae;Aetanthus
71;Aetanthus validus;2;https://www.gbif.org/species/7449505;NA;Plantae;Tracheophyta;Magnoliopsida;Santalales;Loranthaceae;Aetanthus
72;Agalychnis danieli;1;https://www.gbif.org/species/10848419;https://catalogo.biodiversidad.co/file/5f7df9225d603ff70fa7ff7b/summary;Animalia;Chordata;Amphibia;Anura;Phyllomedusidae;Agalychnis
73;Agalychnis psilopygion;29;https://www.gbif.org/species/10791269;NA;Animalia;Chordata;Amphibia;Anura;Phyllomedusidae;Agalychnis
74;Agalychnis terranova;73;https://www.gbif.org/species/8623336;NA;Animalia;Chordata;Amphibia;Anura;Phyllomedusidae;Agalychnis
75;Agave cundinamarcensis;4;https://www.gbif.org/species/2767106;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Asparagaceae;Agave
76;Ageratina ampla;229;https://www.gbif.org/species/5400813;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
77;Ageratina angustifolia;92;https://www.gbif.org/species/5400722;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
78;Ageratina apollinairei;36;https://www.gbif.org/species/5400727;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
79;Ageratina aristei;56;https://www.gbif.org/species/5400565;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
80;Ageratina asclepiadea;534;https://www.gbif.org/species/5400468;https://catalogo.biodiversidad.co/file/56c40db6f0106c67230e7378/summary;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
81;Ageratina barclayae;10;https://www.gbif.org/species/5400786;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
82;Ageratina boyacensis;58;https://www.gbif.org/species/5400816;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
83;Ageratina crassiceps;21;https://www.gbif.org/species/5400220;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
84;Ageratina cuatrecasasii;37;https://www.gbif.org/species/5400545;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
85;Ageratina dasyneura;5;https://www.gbif.org/species/5400500;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
86;Ageratina davidsei;10;https://www.gbif.org/species/5400713;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
87;Ageratina flaviseta;15;https://www.gbif.org/species/5400347;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
88;Ageratina fleischmannioides;8;https://www.gbif.org/species/5691241;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
89;Ageratina funckii;7;https://www.gbif.org/species/5400766;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
90;Ageratina gracilis;584;https://www.gbif.org/species/5400407;https://catalogo.biodiversidad.co/file/56c41cfef0106c67230e7380/summary;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
91;Ageratina gynoxoides;172;https://www.gbif.org/species/5400729;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
92;Ageratina intercostulata;2;https://www.gbif.org/species/5400413;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
93;Ageratina killipii;6;https://www.gbif.org/species/5691143;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
94;Ageratina latipes;76;https://www.gbif.org/species/5400509;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
95;Ageratina mutiscuensis;16;https://www.gbif.org/species/5400243;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
96;Ageratina ocanensis;8;https://www.gbif.org/species/5400725;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
97;Ageratina persetosa;2;https://www.gbif.org/species/5705570;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
98;Ageratina psilodora;47;https://www.gbif.org/species/5400212;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
99;Ageratina rangelii;4;https://www.gbif.org/species/5705477;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
100;Ageratina sotarensis;11;https://www.gbif.org/species/5400226;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
101;Ageratina trianae;21;https://www.gbif.org/species/5705308;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
102;Ageratina zinniifolia;15;https://www.gbif.org/species/5400605;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratina
103;Agrostis boyacensis;151;https://www.gbif.org/species/4125732;NA;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Agrostis
104;Agrostis lehmannii;4;https://www.gbif.org/species/4120923;NA;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Agrostis
105;Agrostis scabrifolia;21;https://www.gbif.org/species/4117001;NA;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Agrostis
106;Agrostopoa barclayae;7;https://www.gbif.org/species/4113797;NA;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Agrostopoa
107;Agrostopoa wallisii;4;https://www.gbif.org/species/4113792;NA;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Agrostopoa
108;Agrostopoa woodii;8;https://www.gbif.org/species/4113786;NA;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Agrostopoa
109;Aiouea angulata;16;https://www.gbif.org/species/4176141;NA;Plantae;Tracheophyta;Magnoliopsida;Laurales;Lauraceae;Aiouea
110;Aiouea lehmannii;21;https://www.gbif.org/species/4175691;NA;Plantae;Tracheophyta;Magnoliopsida;Laurales;Lauraceae;Aiouea
111;Aiphanes acaulis;25;https://www.gbif.org/species/2738692;https://catalogo.biodiversidad.co/file/567070c8f289f5a40c0cd2d9/summary;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Aiphanes
112;Aiphanes concinna;63;https://www.gbif.org/species/2738717;NA;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Aiphanes
113;Aiphanes duquei;16;https://www.gbif.org/species/2738682;https://catalogo.biodiversidad.co/file/5670719df289f5a40c0cd2db/summary;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Aiphanes
114;Aiphanes gelatinosa;23;https://www.gbif.org/species/2738667;https://catalogo.biodiversidad.co/file/56707218f289f5a40c0cd2dc/summary;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Aiphanes
115;Aiphanes graminifolia;21;https://www.gbif.org/species/2738691;https://catalogo.biodiversidad.co/file/56706f7cf289f5a40c0cd2d7/summary;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Aiphanes
116;Aiphanes killipii;24;https://www.gbif.org/species/2738655;https://catalogo.biodiversidad.co/file/56707c38f289f5a40c0cd2df/summary;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Aiphanes
117;Aiphanes leiostachys;6;https://www.gbif.org/species/2738694;https://catalogo.biodiversidad.co/file/56707ccef289f5a40c0cd2e0/summary;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Aiphanes
118;Aiphanes linearis;108;https://www.gbif.org/species/2738668;NA;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Aiphanes
119;Aiphanes parvifolia;39;https://www.gbif.org/species/2738666;https://catalogo.biodiversidad.co/file/567087aaf289f5a40c0cd2e2/summary;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Aiphanes
120;Aiphanes pilaris;7;https://www.gbif.org/species/2738663;https://catalogo.biodiversidad.co/file/56708872f289f5a40c0cd2e3/summary;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Aiphanes
121;Aiphanes simplex;169;https://www.gbif.org/species/2738698;NA;Plantae;Tracheophyta;Liliopsida;Arecales;Arecaceae;Aiphanes
122;Aiurasyma potira;1;https://www.gbif.org/species/1146961;NA;Animalia;Arthropoda;Insecta;Coleoptera;Cerambycidae;Aiurasyma
123;Aiurasyma santandereana;1;https://www.gbif.org/species/10305525;NA;Animalia;Arthropoda;Insecta;Coleoptera;Cerambycidae;Aiurasyma
124;Akodon affinis;242;https://www.gbif.org/species/2437908;NA;Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Akodon
125;Alansmia canescens;1;https://www.gbif.org/species/8072315;NA;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Polypodiaceae;Alansmia
126;Alibertia patinoi;126;https://www.gbif.org/species/7825670;https://catalogo.biodiversidad.co/file/5fe3fb54840ca9d3043e2c3c/summary;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Alibertia
127;Allobates ignotus;3;https://www.gbif.org/species/8531823;https://catalogo.biodiversidad.co/file/5f7e1a245d603ff70fa8007c/summary;Animalia;Chordata;Amphibia;Anura;Aromobatidae;Allobates
128;Allobates juanii;189;https://www.gbif.org/species/2426319;https://catalogo.biodiversidad.co/file/5f7e1bab5d603ff70fa8013b/summary;Animalia;Chordata;Amphibia;Anura;Aromobatidae;Allobates
129;Allobates niputidea;172;https://www.gbif.org/species/2426283;NA;Animalia;Chordata;Amphibia;Anura;Aromobatidae;Allobates
130;Allobates ranoides;14;https://www.gbif.org/species/2426290;https://catalogo.biodiversidad.co/file/5f7e28165d603ff70fa80204/summary;Animalia;Chordata;Amphibia;Anura;Aromobatidae;Allobates
131;Allobates wayuu;37;https://www.gbif.org/species/2426325;https://catalogo.biodiversidad.co/file/56c145abf0106c67230e730c/summary;Animalia;Chordata;Amphibia;Anura;Aromobatidae;Allobates
132;Alloispermum lindenii;9;https://www.gbif.org/species/3101283;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Alloispermum
133;Allomaieta caucana;7;https://www.gbif.org/species/3860327;NA;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Melastomataceae;Allomaieta
134;Allomaieta ebejicosana;12;https://www.gbif.org/species/3860309;NA;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Melastomataceae;Allomaieta
135;Allomaieta grandiflora;27;https://www.gbif.org/species/3860294;NA;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Melastomataceae;Allomaieta
136;Allomaieta hirsuta;32;https://www.gbif.org/species/3860279;NA;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Melastomataceae;Allomaieta
137;Allomaieta pancurana;59;https://www.gbif.org/species/3860265;NA;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Melastomataceae;Allomaieta
138;Allomaieta strigosa;36;https://www.gbif.org/species/3860251;NA;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Melastomataceae;Allomaieta
139;Allomaieta villosa;30;https://www.gbif.org/species/3860234;NA;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Melastomataceae;Allomaieta
140;Allomaieta zenufanasana;18;https://www.gbif.org/species/3860222;NA;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Melastomataceae;Allomaieta
141;Allomarkgrafia antioquiana;3;https://www.gbif.org/species/8394684;NA;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Apocynaceae;Allomarkgrafia
142;Allophoron farinosum;4;https://www.gbif.org/species/3392860;NA;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;NA;Allophoron
143;Allophylus goudotii;31;https://www.gbif.org/species/5577555;NA;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;Allophylus
144;Alloplectus inflatus;45;https://www.gbif.org/species/5590713;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Gesneriaceae;Alloplectus
145;Alonsoa serrata;32;https://www.gbif.org/species/3723840;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Scrophulariaceae;Alonsoa
146;Alsophila rupestris;5;https://www.gbif.org/species/5529839;NA;Plantae;Tracheophyta;Polypodiopsida;Cyatheales;Cyatheaceae;Alsophila
147;Amalophyllon albiflorum;26;https://www.gbif.org/species/5830470;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Gesneriaceae;Amalophyllon
148;Amalophyllon macrophyllum;24;https://www.gbif.org/species/6070517;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Gesneriaceae;Amalophyllon
149;Amalophyllon rubidum;3;https://www.gbif.org/species/6070518;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Gesneriaceae;Amalophyllon
150;Ameerega ingeri;15;https://www.gbif.org/species/2429042;https://catalogo.biodiversidad.co/file/56c15a83f0106c67230e7313/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Ameerega
151;Amorimia concinna;14;https://www.gbif.org/species/3985987;https://catalogo.biodiversidad.co/file/566edbf1f289f5a40c0cd266/summary;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Malpighiaceae;Amorimia
152;Ampelocera albertiae;82;https://www.gbif.org/species/4160189;https://catalogo.biodiversidad.co/file/56c597f5f0106c67230e73ab/summary;Plantae;Tracheophyta;Magnoliopsida;Rosales;Cannabaceae;Ampelocera
153;Ampelozizyphus kuripacorum;3;https://www.gbif.org/species/9184122;NA;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rhamnaceae;Ampelozizyphus
154;Amphidasya brevidentata;2;https://www.gbif.org/species/2898632;NA;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Amphidasya
155;Amphidasya intermedia;29;https://www.gbif.org/species/2898634;NA;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Amphidasya
156;Amphidasya umbrosa;15;https://www.gbif.org/species/2898641;NA;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Amphidasya
157;Amphilophium chocoense;34;https://www.gbif.org/species/7506855;NA;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Bignoniaceae;Amphilophium
158;Anablepsoides taeniatus;4;https://www.gbif.org/species/7193297;https://catalogo.biodiversidad.co/file/59d43bef5f369343442fa959/summary;Animalia;Chordata;NA;Cyprinodontiformes;Rivulidae;Anablepsoides
159;Anablepsoides tessellatus;26;https://www.gbif.org/species/7193325;https://catalogo.biodiversidad.co/file/59d2d92a5f369343442f98cc/summary;Animalia;Chordata;NA;Cyprinodontiformes;Rivulidae;Anablepsoides
160;Ancistrus caucanus;141;https://www.gbif.org/species/5961392;https://catalogo.biodiversidad.co/file/5955497f2f4fd7bc7f39ac05/summary;Animalia;Chordata;NA;Siluriformes;Loricariidae;Ancistrus
161;Ancistrus centrolepis;94;https://www.gbif.org/species/5961464;https://catalogo.biodiversidad.co/file/595721652f4fd7bc7f39c1a8/summary;Animalia;Chordata;NA;Siluriformes;Loricariidae;Ancistrus
162;Ancistrus tolima;4;https://www.gbif.org/species/7576521;https://catalogo.biodiversidad.co/file/59dd85a65f3693434430103a/summary;Animalia;Chordata;NA;Siluriformes;Loricariidae;Ancistrus
163;Ancyloxypha melanoneura;37;https://www.gbif.org/species/1949701;NA;Animalia;Arthropoda;Insecta;Lepidoptera;Hesperiidae;Ancyloxypha
164;Andinia hystricosa;2;https://www.gbif.org/species/5310544;NA;Plantae;Tracheophyta;Liliopsida;Asparagales;Orchidaceae;Andinia
165;Andinoacara biseriatus;62;https://www.gbif.org/species/5852992;https://catalogo.biodiversidad.co/file/59f006ca5f3693434430ef26/summary;Animalia;Chordata;NA;Perciformes;Cichlidae;Andinoacara
166;Andinoacara latifrons;2979;https://www.gbif.org/species/7856519;https://catalogo.biodiversidad.co/file/59579e0e2f4fd7bc7f39c254/summary;Animalia;Chordata;NA;Perciformes;Cichlidae;Andinoacara
167;Andinobates altobueyensis;12;https://www.gbif.org/species/7893301;https://catalogo.biodiversidad.co/file/5f7e2be15d603ff70fa802f7/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Andinobates
168;Andinobates bombetes;503;https://www.gbif.org/species/7393394;https://catalogo.biodiversidad.co/file/5f7e2d2e5d603ff70fa803b8/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Andinobates
169;Andinobates cassidyhornae;15;https://www.gbif.org/species/8213814;https://catalogo.biodiversidad.co/file/5f7e2e205d603ff70fa8046b/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Andinobates
170;Andinobates daleswansoni;25;https://www.gbif.org/species/7536992;https://catalogo.biodiversidad.co/file/5f7e2f025d603ff70fa804b8/summary;Animalia;Chordata;Amphibia;Anura;Dendrobatidae;Andinobates
